Date,Open,High,Low,Close,Volume,Adj Close
2/3/2015,17654.59961,17654.59961,17271.86914,17335.84961,169700,17335.84961
2/2/2015,17536.60938,17628.40039,17459.44922,17558.03906,139700,17558.03906
1/30/2015,17788.74023,17808.4707,17661.09961,17674.39063,168300,17674.39063
1/29/2015,17666.91016,17778.83008,17575.09961,17606.2207,0,17606.2207
1/28/2015,17795.73047,17795.73047,17795.73047,17795.73047,0,17795.73047
1/27/2015,17649.40039,17768.41016,17633.4707,17768.30078,0,17768.30078
1/26/2015,17285.71094,17471.93945,17285.71094,17468.51953,0,17468.51953
1/23/2015,17520.63086,17532.06055,17460.75977,17511.75,128500,17511.75
1/22/2015,17306.64063,17355.74023,17229.21094,17329.01953,118200,17329.01953
1/21/2015,17308.7207,17329.0293,17181.55078,17280.48047,131900,17280.48047
1/20/2015,17071.65039,17366.30078,17066.76953,17366.30078,0,17366.30078
1/19/2015,17000.7793,17039.80078,16911.58008,17014.28906,0,17014.28906
1/16/2015,16812.96094,16864.33984,16592.57031,16864.16016,0,16864.16016
1/15/2015,17108.69922,17108.69922,17108.69922,17108.69922,0,17108.69922
1/14/2015,16961.82031,17036.7207,16770.56055,16795.96094,0,16795.96094
1/13/2015,16970.88086,17087.71094,16828.26953,17087.71094,0,17087.71094
1/9/2015,17318.74023,17342.65039,17129.5293,17197.73047,0,17197.73047
1/8/2015,17067.40039,17243.71094,17016.08984,17167.09961,0,17167.09961
1/7/2015,16808.25977,16974.60938,16808.25977,16885.33008,138600,16885.33008
1/6/2015,17101.58008,17111.35938,16881.73047,16883.18945,0,16883.18945
1/5/2015,17325.67969,17540.91992,17219.2207,17408.71094,0,17408.71094
1/2/2015,17702.11914,17713.75977,17450.76953,17450.76953,0,17450.76953
12/31/2014,17702.11914,17713.75977,17450.76953,17450.76953,0,17450.76953
12/30/2014,17702.11914,17713.75977,17450.76953,17450.76953,0,17450.76953
12/29/2014,17914.55078,17914.55078,17525.66016,17729.83984,0,17729.83984
12/26/2014,17778.91016,17843.73047,17769.00977,17818.96094,0,17818.96094
12/25/2014,17804.83984,17832.4707,17773.58984,17808.75,0,17808.75
12/24/2014,17842.03906,17875.41016,17800.41992,17854.23047,0,17854.23047
12/22/2014,17685.5293,17692.58008,17572.61914,17635.14063,0,17635.14063
12/19/2014,17511.00977,17621.40039,17471.59961,17621.40039,0,17621.40039
12/18/2014,17210.05078,17210.05078,17210.05078,17210.05078,0,17210.05078
12/17/2014,16689.33984,16891.01953,16672.93945,16819.73047,161300,16819.73047
12/16/2014,16862.41992,16895.39063,16714.83008,16755.32031,160300,16755.32031
12/15/2014,17099.40039,17099.40039,17099.40039,17099.40039,0,17099.40039
12/12/2014,17317.68945,17526.18945,17298.18945,17371.58008,214500,17371.58008
12/11/2014,17180.49023,17289.73047,17043.63086,17257.40039,151400,17257.40039
12/10/2014,17623.34961,17658.14063,17308.82031,17412.58008,0,17412.58008
12/9/2014,17813.38086,17813.38086,17813.38086,17813.38086,0,17813.38086
12/8/2014,18004.66016,18030.83008,17869.74023,17935.64063,134700,17935.64063
12/5/2014,17821.84961,17922.28906,17759.35938,17920.44922,128900,17920.44922
12/4/2014,17881.91016,17912.58984,17813.00977,17887.21094,142200,17887.21094
12/3/2014,17720.42969,17720.42969,17720.42969,17720.42969,0,17720.42969
12/2/2014,17481.06055,17687.69922,17476.41992,17663.2207,125200,17663.2207
12/1/2014,17475.09961,17649.01953,17474.26953,17590.09961,0,17590.09961
11/28/2014,17340.16016,17471.90039,17330.83984,17459.84961,149100,17459.84961
11/27/2014,17310.49023,17346.84961,17212.48047,17248.5,0,17248.5
11/26/2014,17347.9707,17432.57031,17335.99023,17383.58008,136500,17383.58008
11/25/2014,17490.39063,17490.39063,17372.71094,17407.61914,170600,17407.61914
11/24/2014,17357.50977,17357.50977,17357.50977,17357.50977,0,17357.50977
11/21/2014,17285.7207,17381.58984,17108.19922,17357.50977,156300,17357.50977
11/20/2014,17407.68945,17407.68945,17270.69922,17300.85938,144000,17300.85938
11/19/2014,17384.31055,17472.57031,17280.75977,17288.75,170100,17288.75
11/18/2014,17188.83984,17356.75977,17186.5,17344.06055,158100,17344.06055
11/17/2014,17381.38086,17409.32031,16907.42969,16973.80078,192800,16973.80078
11/14/2014,17520.53906,17520.53906,17300.18945,17490.83008,196000,17490.83008
11/13/2014,17192,17400.76953,17099.94922,17392.78906,159800,17392.78906
11/12/2014,17253.11914,17443.74023,17170,17197.05078,193300,17197.05078
11/11/2014,16869.49023,17160.11914,16855.30078,17124.10938,154000,17124.10938
11/10/2014,16758.26953,16818.05078,16713.36914,16780.5293,125600,16780.5293
11/7/2014,16934.03906,16938.19922,16824.08008,16880.38086,153300,16880.38086
11/6/2014,16993.46094,17045.93945,16725.44922,16792.48047,199000,16792.48047
11/5/2014,16785.43945,16995.01953,16778.2793,16937.32031,232200,16937.32031
11/4/2014,16732.84961,17127.66016,16720.99023,16862.4707,335600,16862.4707
10/31/2014,15817.13965,16533.91016,15817.13965,16413.75977,268500,16413.75977
10/30/2014,15596.5,15701.04004,15584.83008,15658.2002,184100,15658.2002
10/29/2014,15442.38965,15595.29004,15394.79004,15553.91016,148800,15553.91016
10/28/2014,15363.28027,15374.45996,15263.36035,15329.91016,122300,15329.91016
10/27/2014,15404.28027,15424.04981,15333.70996,15388.71973,121000,15388.71973
10/24/2014,15354.34961,15377.04981,15232,15291.63965,121800,15291.63965
10/23/2014,15093.78027,15232.50977,15059.63965,15138.95996,119600,15138.95996
10/22/2014,15038.19043,15195.78027,15001.42969,15195.76953,137400,15195.76953
10/21/2014,15115.29004,15115.29004,14761.83984,14804.28027,143000,14804.28027
10/20/2014,14822.83984,15111.23047,14819.69043,15111.23047,162000,15111.23047
10/17/2014,14796.32031,14830.66992,14529.03027,14532.50977,178600,14532.50977
10/16/2014,14805.16016,14807.08008,14672.54981,14738.37988,198900,14738.37988
10/15/2014,15009.75,15084.61035,14916.65039,15073.51953,152600,15073.51953
10/14/2014,14936.50977,14936.50977,14936.50977,14936.50977,0,14936.50977
10/13/2014,15300.54981,15300.54981,15300.54981,15300.54981,0,15300.54981
10/10/2014,15292.87988,15345.78027,15221.83008,15300.54981,186100,15300.54981
10/9/2014,15681.53027,15732.32031,15461.08984,15478.92969,141000,15478.92969
10/8/2014,15574.59961,15643.62988,15520.80957,15595.98047,150200,15595.98047
10/7/2014,15841.16992,15913.51953,15755.57031,15783.83008,134800,15783.83008
10/6/2014,15882.28027,15970.65039,15808.21973,15890.9502,127600,15890.9502
10/3/2014,15616.48047,15708.65039,15559.07031,15708.65039,139700,15708.65039
10/2/2014,15895.2002,15922.50977,15646.40039,15661.99023,175400,15661.99023
10/1/2014,16173.38965,16225.95996,16081.00977,16082.25,137100,16082.25
9/30/2014,16252.71973,16252.71973,16058.71973,16173.51953,152500,16173.51953
9/29/2014,16339.03027,16344.32031,16262,16310.63965,107900,16310.63965
9/26/2014,16087.9502,16251.66992,16087.9502,16229.86035,127400,16229.86035
9/25/2014,16327.19043,16374.13965,16303.91016,16374.13965,148700,16374.13965
9/24/2014,16105.55957,16203.94043,16094.58984,16167.4502,133300,16167.4502
9/22/2014,16281.36035,16299.12988,16170.11035,16205.90039,129100,16205.90039
9/19/2014,16177.94043,16364.08008,16170.86035,16321.16992,171300,16321.16992
9/18/2014,16036.46973,16106.11035,16003.45996,16067.57031,143100,16067.57031
9/17/2014,15948.15039,15969.41016,15888.66992,15888.66992,114700,15888.66992
9/16/2014,15896.05957,15938.30957,15871.12012,15911.53027,121300,15911.53027
9/15/2014,15948.29004,15948.29004,15948.29004,15948.29004,0,15948.29004
9/12/2014,15885.04004,15984.90039,15885.04004,15948.29004,183400,15948.29004
