Date,Open,High,Low,Close,Volume,Adj Close
2015-07-24,11467.830078,11542.900391,11334.769531,11347.450195,66445200,11347.450195
2015-07-23,11611.419922,11614.759766,11453.620117,11512.110352,63141800,11512.110352
2015-07-22,11511.19043,11589.639648,11486.30957,11520.669922,67975300,11520.669922
2015-07-21,11760.00,11773.490234,11583.879883,11604.799805,63414800,11604.799805
2015-07-20,11679.469727,11802.370117,11678.129883,11735.719727,61023400,11735.719727
2015-07-17,11747.469727,11753.179688,11649.94043,11673.419922,67855100,11673.419922
2015-07-16,11624.480469,11787.580078,11607.139648,11716.759766,83876500,11716.759766
2015-07-15,11508.339844,11566.019531,11475.959961,11539.660156,64691500,11539.660156
2015-07-14,11456.540039,11519.360352,11414.389648,11516.900391,000,11516.900391
2015-07-13,11489.169922,11506.980469,11421.820312,11484.379883,89129700,11484.379883
2015-07-10,11170.709961,11339.780273,11149.269531,11315.629883,101659900,11315.629883
2015-07-09,10795.110352,11035.040039,10784.469727,10996.410156,83835900,10996.410156
2015-07-08,10710.290039,10802.799805,10652.790039,10747.299805,91582600,10747.299805
2015-07-07,10930.019531,10946.870117,10663.990234,10676.780273,104180500,10676.780273
2015-07-06,10825.05957,10996.450195,10823.549805,10890.629883,98517400,10890.629883
2015-07-03,11082.040039,11123.179688,11005.759766,11058.389648,63616600,11058.389648
2015-07-02,11191.280273,11229.009766,11078.589844,11099.349609,74862700,11099.349609
2015-07-01,11050.320312,11283.759766,10979.209961,11180.50,119081000,11180.50
2015-06-30,11058.040039,11137.139648,10897.969727,10944.969727,131523600,10944.969727
2015-06-29,11404.709961,11409.80957,10964.240234,11083.200195,130184700,11083.200195
2015-06-26,11387.129883,11561.830078,11373.44043,11492.429688,91723700,11492.429688
2015-06-25,11410.620117,11594.240234,11352.400391,11473.129883,73555500,11473.129883
2015-06-24,11566.349609,11589.349609,11364.450195,11471.259766,91865500,11471.259766
2015-06-23,11552.959961,11635.849609,11517.120117,11542.540039,86258300,11542.540039
2015-06-22,11138.709961,11470.25,11138.549805,11460.50,115712200,11460.50
2015-06-19,11121.299805,11246.269531,10997.900391,11040.099609,000,11040.099609
2015-06-18,10937.669922,11109.759766,10806.150391,11100.299805,97027400,11100.299805
2015-06-17,11066.75,11115.379883,10947.370117,10978.009766,80761200,10978.009766
2015-06-16,10910.009766,11074.339844,10797.849609,11044.009766,86258300,11044.009766
2015-06-15,11053.209961,11090.709961,10952.740234,10984.969727,78179500,10984.969727
2015-06-12,11286.55957,11365.919922,11069.360352,11196.490234,86229000,11196.490234
2015-06-11,11242.870117,11452.94043,11236.580078,11332.780273,89482400,11332.780273
2015-06-10,10970.410156,11299.610352,10939.509766,11265.389648,99616000,11265.389648
2015-06-09,11025.080078,11071.610352,10864.679688,11001.290039,99627200,11001.290039
2015-06-08,11131.860352,11224.55957,11059.160156,11064.919922,95867900,11064.919922
2015-06-05,11241.429688,11287.200195,11155.009766,11197.150391,88724800,11197.150391
2015-06-04,11370.570312,11449.700195,11187.429688,11340.599609,103285700,11340.599609
2015-06-03,11359.799805,11515.209961,11300.360352,11419.620117,85463100,11419.620117
2015-06-02,11467.070312,11467.070312,11270.570312,11328.799805,85500500,11328.799805
2015-06-01,11462.969727,11510.929688,11345.099609,11436.049805,73416100,11436.049805
2015-05-29,11685.660156,11704.389648,11403.820312,11413.820312,120710300,11413.820312
2015-05-28,11716.080078,11773.790039,11605.990234,11677.570312,81510400,11677.570312
2015-05-27,11647.040039,11790.349609,11595.120117,11771.129883,97869200,11771.129883
2015-05-26,11841.480469,11920.30957,11586.349609,11625.129883,93766700,11625.129883
2015-05-22,11881.490234,11881.80957,11792.30957,11815.009766,62225800,11815.009766
2015-05-21,11815.429688,11868.700195,11758.80957,11864.589844,69260800,11864.589844
2015-05-20,11858.469727,11871.490234,11780.019531,11848.469727,66432100,11848.469727
2015-05-19,11709.870117,11873.280273,11706.849609,11853.330078,96884100,11853.330078
2015-05-18,11464.799805,11594.959961,11378.860352,11594.280273,76375600,11594.280273
2015-05-15,11593.200195,11632.360352,11383.230469,11447.030273,94826300,11447.030273
2015-05-14,11299.19043,11579.799805,11218.540039,11559.820312,70738400,11559.820312
2015-05-13,11532.969727,11596.469727,11301.629883,11351.459961,104879700,11351.459961
2015-05-12,11557.969727,11565.200195,11377.349609,11472.410156,101551000,11472.410156
2015-05-11,11674.519531,11702.129883,11622.019531,11673.349609,70980300,11673.349609
2015-05-08,11483.070312,11710.410156,11415.290039,11709.730469,107824700,11709.730469
2015-05-07,11265.129883,11437.570312,11167.549805,11407.969727,115675800,11407.969727
2015-05-06,11377.580078,11457.929688,11239.860352,11350.150391,98674900,11350.150391
2015-05-05,11576.120117,11751.219727,11322.620117,11327.679688,117932600,11327.679688
2015-05-04,11506.839844,11656.889648,11411.769531,11619.849609,77918800,11619.849609
2015-04-30,11440.790039,11570.639648,11331.370117,11454.379883,122890200,11454.379883
2015-04-29,11864.400391,11885.049805,11410.540039,11432.719727,130639400,11432.719727
2015-04-28,12035.55957,12047.379883,11743.780273,11811.660156,121855500,11811.660156
2015-04-27,11881.25,12050.709961,11729.040039,12039.160156,99934100,12039.160156
2015-04-24,11783.55957,11881.049805,11711.099609,11810.849609,82170600,11810.849609
2015-04-23,11887.139648,11940.209961,11675.580078,11723.580078,86796100,11723.580078
2015-04-22,11984.389648,12041.379883,11787.219727,11867.370117,79057700,11867.370117
2015-04-21,11994.820312,12079.030273,11913.360352,11939.580078,77741200,11939.580078
2015-04-20,11736.400391,11903.700195,11727.019531,11891.910156,71327300,11891.910156
2015-04-17,11942.360352,12019.75,11674.589844,11688.700195,132825600,11688.700195
2015-04-16,12224.759766,12227.589844,11997.75,11998.860352,95051400,11998.860352
2015-04-15,12220.099609,12326.139648,12214.80957,12231.339844,67758400,12231.339844
2015-04-14,12306.360352,12339.80957,12181.200195,12227.599609,71252900,12227.599609
2015-04-13,12357.269531,12388.129883,12326.709961,12338.730469,60750900,12338.730469
2015-04-10,12226.980469,12390.75,12214.509766,12374.730469,78423600,12374.730469
2015-04-09,12099.429688,12166.44043,12047.910156,12166.44043,58503200,12166.44043
2015-04-08,12109.849609,12122.320312,12017.799805,12035.860352,69857400,12035.860352
2015-04-07,12057.339844,12149.30957,12035.700195,12123.519531,88379700,12123.519531
2015-04-02,11991.620117,12020.110352,11948.830078,11967.389648,68635700,11967.389648
2015-04-01,11902.919922,12112.980469,11880.19043,12001.379883,90437700,12001.379883
2015-03-31,12054.200195,12119.709961,11943.120117,11966.169922,84755300,11966.169922
2015-03-30,11927.139648,12090.139648,11922.709961,12086.009766,72909300,12086.009766
